month	received	pledged	needed
2025-01	799.00	00.00	1487.49
2025-02	679.00	00.00	1487.49
2025-03	859.00	00.00	1487.49
2025-04	889.00	00.00	1487.49
2025-05	1194.00	00.00	1487.49
2025-06	1451.00	00.00	1487.49
2025-07	1716.00	00.00	1487.49
2025-08	1291.00	00.00	1487.49
2025-09	1091.00	00.00	1487.49
2025-10	1081.00	00.00	1487.49
2025-11	1453.50	00.00	1487.49
2025-12	1568.40	00.00	1487.49
2026-01	665.00	0.00	1487.49
2026-02	595.00	0.00	1487.49
2026-03	640.00	0.00	1487.49
2026-04	690.00	0.00	1487.49
2026-05	1085.00	0.00	1487.49
2026-06	630.00	0.00	1487.49
2026-07	675.00	0.00	1487.49
2026-08	640.00	0.00	1487.49
2026-09	0.00	0.00	1487.49
2026-10	0.00	0.00	1487.49
2026-11	0.00	0.00	1487.49
2026-12	0.00	0.00	1487.49
